lat,lon,id
51.23266,4.4444,0
51.16376,4.98392,1
51.25461,4.49728,2
51.17087,4.71213,3
51.42894,4.50414,4
51.29436,4.48429,5
51.20685,5.13662,6
51.16195,4.99741,7
51.20327,4.41832,8
51.15237,4.4272,9
51.01225,4.46938,10
51.24848,4.43869,11
51.23191,4.50221,12
51.21839,4.40489,13
51.24241,4.4378,14
51.2494,4.52625,15
51.13989,4.44981,16
51.22995,4.40987,17
51.04019,4.4875,18
51.21897,4.42111,19
51.24313,4.44651,20
51.28273,4.42134,21
51.21475,4.33173,22
51.03058,4.68246,23
51.03636,4.47608,24
51.258,4.43472,25
51.12603,4.47183,26
51.21188,4.42121,27
51.28113,4.44673,28
51.33519,5.09386,29
51.17895,4.39024,30
51.17421,4.38765,31
51.2052,4.76586,32
51.1363,4.97934,33
51.16893,4.45397,34
51.22808,4.38616,35
51.2088,4.47409,36
51.35315,4.82987,37
51.13969,4.76217,38
51.19863,4.42733,39
51.17276,4.85791,40
51.09196,4.51192,41
51.31483,5.07815,42
51.19314,4.41828,43
51.10569,4.36991,44
51.06293,4.45693,45
51.15249,4.9819,46
51.06686,4.75051,47
51.16687,4.41863,48
51.12929,4.57202,49
51.28777,4.48614,50
51.18934,4.8183,51
51.21682,4.32976,52
51.24102,4.43908,53
51.33328,5.09857,54
51.22107,4.38607,55
51.18682,5.11235,56
51.20816,4.46373,57
51.13108,4.56887,58
51.20306,4.44527,59
51.41144,5.01418,60
51.16146,4.7949,61
51.22447,4.45459,62
51.29536,4.77928,63
51.3057,5.1078,64
51.39505,4.79776,65
51.22559,4.42844,66
51.13533,4.44438,67
51.43584,4.52359,68
51.27207,4.715,69
51.10783,4.32969,70
51.03107,4.48667,71
51.18699,4.38746,72
51.26765,4.37668,73
51.13319,5.07255,74
51.34731,4.325,75
51.04989,4.46343,76
51.08021,4.83531,77
51.35388,4.64505,78
51.3437,4.68932,79
51.30677,4.50882,80
51.21426,4.41614,81
51.23369,4.4218,82
