potential_aed_id,intervention_id,intervention_lat,intervention_lon,distance_to_potential_aed,distance_to_existing_aed,existing_aed_id,existing_aed_lat,existing_aed_lon,arrest_count,potential_aed_lat,potential_aed_lon
1661,"[14820, 15329, 15379, 17447]","[50.73752, 50.72442, 50.73982, 50.73289]","[3.1486, 3.13391, 3.11101, 3.12918]","[1.4113881114940912, 0.914736924520759, 1.5932189691202259, 0.10108824928664774]","[2.8578362903303014, 4.455811867698739, 5.154243327429145, 4.317046046988925]","[10701, 5095, 9876, 7280]","[50.7471442, 50.7290739, 50.7615078, 50.7500721]","[3.1862593, 3.1967847, 3.1757592, 3.184195700000001]",4,50.73232323232323,3.1303030303030304
1662,"[12840, 16113]","[50.74862, 50.75062]","[3.14883, 3.11836]","[1.3738562026676648, 0.8665047389597178]","[2.3738313648715983, 4.2153157873496685]","[10991, 9876]","[50.753333, 50.7615078]","[3.1817396, 3.1757592]",2,50.75252525252525,3.1303030303030304
1663,[15977],[50.7766],[3.13612],[0.5939234538004238],[1.4005423211764847],[9878],[50.7888972],[3.131811],1,50.77272727272727,3.1303030303030304
1754,[12325],[50.58729],[3.16259],[0.64316881069056],[9.886178603155972],[2197],[50.5818139],[3.3023511],1,50.59090909090909,3.16969696969697
1759,[14315],[50.68938],[3.17379],[0.4035465610437293],[4.631412253944826],[10846],[50.7276223],[3.1998505],1,50.69191919191919,3.16969696969697
1760,"[13951, 14060]","[50.71751, 50.71916]","[3.15664, 3.15164]","[1.0973384384675948, 1.4929171255084943]","[3.1047249817746985, 3.3636222989765887]","[5095, 5095]","[50.7290739, 50.7290739]","[3.1967847, 3.1967847]",2,50.71212121212121,3.16969696969697
1761,"[11575, 15643, 15888]","[50.73317, 50.72508, 50.73316]","[3.16323, 3.16743, 3.16113]","[0.4647795366784636, 0.8210642072998628, 0.6100764876515129]","[2.220392361705389, 2.113408051531434, 2.353871655780426]","[10848, 5095, 10848]","[50.7421287, 50.7290739, 50.7421287]","[3.1914285, 3.1967847, 3.1914285]",3,50.73232323232323,3.16969696969697
1762,[15439],[50.76093],[3.15169],[1.5741264031844182],[1.6941682452684728],[9876],[50.7615078],[3.1757592],1,50.75252525252525,3.16969696969697
1857,[15085],[50.65],[3.22163],[0.8999500583970828],[3.627806746467601],[5573],[50.6662111],[3.2662917],1,50.65151515151515,3.209090909090909
1860,"[14173, 15211, 16823, 17095, 18198, 31040]","[50.71255, 50.7136, 50.71263, 50.71553, 50.7147, 50.71368]","[3.20912, 3.21149, 3.22142, 3.21816, 3.2128, 3.2116]","[0.047723013989589065, 0.23573701696323524, 0.8699347308870149, 0.7425630541004379, 0.3878463596993503, 0.24749351059591618]","[1.397372203436377, 1.266144265268501, 1.5244574852668333, 1.136305719406455, 1.1445793460021776, 1.2570451488568952]","[2818, 2818, 2818, 2818, 2818, 2818]","[50.7249817, 50.7249817, 50.7249817, 50.7249817, 50.7249817, 50.7249817]","[3.2120234, 3.2120234, 3.2120234, 3.2120234, 3.2120234, 3.2120234]",6,50.71212121212121,3.209090909090909
1861,"[15156, 29944]","[50.73224, 50.73338]","[3.20656, 3.20425]","[0.17836628132057125, 0.3603950519239758]","[0.3326269646124293, 0.4832989401014748]","[1036, 1036]","[50.7292505, 50.7292505]","[3.2063922, 3.2063922]",2,50.73232323232323,3.209090909090909
1862,"[12808, 13673, 16484]","[50.76097, 50.74979, 50.75135]","[3.20844, 3.21371, 3.21547]","[0.9401287281982923, 0.4450899315693412, 0.4674136714519061]","[1.0715458652008603, 0.4829042673202196, 0.4800351788029267]","[1737, 8387, 7926]","[50.7568308, 50.7454633, 50.7492418]","[3.2221969, 3.2143016, 3.2214243]",3,50.75252525252525,3.209090909090909
1957,"[12601, 13531, 15059]","[50.64741, 50.64817, 50.64809]","[3.26501, 3.26297, 3.26371]","[1.25132857745412, 1.0868912391682606, 1.1389986431283392]","[1.2852352157892832, 1.445278356799261, 1.3925880132475181]","[1636, 1636, 1636]","[50.6448033, 50.6448033, 50.6448033]","[3.2827682, 3.2827682, 3.2827682]",3,50.65151515151515,3.2484848484848485
1958,"[14340, 15887, 16524]","[50.66452, 50.68107, 50.66223]","[3.25217, 3.24607, 3.24166]","[0.8413770633498449, 1.053815739422599, 1.1594103135167386]","[1.0129153316552506, 1.1087808107141903, 1.7916519826773674]","[5573, 7755, 5573]","[50.6662111, 50.6864141, 50.6662111]","[3.2662917, 3.2593568, 3.2662917]",3,50.67171717171717,3.2484848484848485
1960,"[13102, 15262, 15698, 16844, 16949]","[50.71215, 50.71145, 50.71318, 50.71481, 50.71151]","[3.25346, 3.24864, 3.24991, 3.25079, 3.2542]","[0.3503175945922225, 0.07543064626675736, 0.15469264456819712, 0.34019232617874484, 0.4081083985528178]","[0.3840358116979225, 0.08697166444591935, 0.26428661621284427, 0.37109297167160726, 0.4297469479544094]","[10847, 10077, 10077, 10847, 10847]","[50.715198, 50.7114091, 50.7114091, 50.715198, 50.715198]","[3.256025, 3.2474065, 3.2474065, 3.256025, 3.256025]",5,50.71212121212121,3.2484848484848485
1961,"[11036, 17496]","[50.73046, 50.73038]","[3.25676, 3.25526]","[0.6181710326353429, 0.5235187878887348]","[0.8820916363967602, 0.8005408829946689]","[8065, 8065]","[50.7347341, 50.7347341]","[3.2462014, 3.2462014]",2,50.73232323232323,3.2484848484848485
2051,"[13108, 13379, 13726, 14256, 14299, 15884, 18094]","[50.53235, 50.52746, 50.53122, 50.53287, 50.52699, 50.53076, 50.53328]","[3.2887, 3.30455, 3.28784, 3.2891, 3.30555, 3.30005, 3.28942]","[0.23489722120385906, 1.2200787537222195, 0.10199923082948542, 0.2981999083025209, 1.3022946665963575, 0.8617963521306837, 0.34848753829702006]","[0.5388074712001218, 1.355415908475537, 0.6783876616886709, 0.47444434576098793, 1.4412587439961106, 0.8698052118563926, 0.42355342535615476]","[8073, 8073, 8073, 8073, 8073, 8073, 8073]","[50.5367032, 50.5367032, 50.5367032, 50.5367032, 50.5367032, 50.5367032, 50.5367032]","[3.2920484, 3.2920484, 3.2920484, 3.2920484, 3.2920484, 3.2920484, 3.2920484]",7,50.53030303030303,3.287878787878788
2054,[11890],[50.59254],[3.2773],[0.7684739297710457],[2.133144122187717],[2197],[50.5818139],[3.3023511],1,50.59090909090909,3.287878787878788
2056,"[15445, 16100]","[50.63239, 50.62813]","[3.30189, 3.28699]","[0.9954533974333721, 0.3594568909126105]","[1.1960927760900422, 1.1576355291670548]","[2198, 2198]","[50.6217072, 50.6217072]","[3.2999055, 3.2999055]",2,50.631313131313135,3.287878787878788
2057,[16276],[50.65877],[3.30444],[1.4190934983832502],[1.9847960450572497],[1671],[50.6763992],[3.3088529],1,50.65151515151515,3.287878787878788
2058,[14645],[50.66787],[3.27905],[0.7550726521930943],[0.9179078773706283],[5573],[50.6662111],[3.2662917],1,50.67171717171717,3.287878787878788
2060,[17495],[50.71325],[3.28786],[0.12552245615237767],[0.7270532511883396],[8617],[50.7189178],[3.282711],1,50.71212121212121,3.287878787878788
2061,[12388],[50.73419],[3.28583],[0.25274200552845205],[1.0629995555022427],[1035],[50.730512],[3.2997711],1,50.73232323232323,3.287878787878788
2067,[10942],[50.8504],[3.29106],[0.41402818090583615],[0.42308124857790647],[11918],[50.8532632],[3.2950291],1,50.85353535353536,3.287878787878788
2151,[12226],[50.52675],[3.30856],[1.3804685833940513],[1.6083878983565767],[8073],[50.5367032],[3.2920484],1,50.53030303030303,3.327272727272727
2152,"[11752, 14508, 15704, 16158, 18376, 29457]","[50.55438, 50.54232, 50.54456, 50.54722, 50.5472, 50.54414]","[3.32928, 3.33683, 3.33936, 3.33763, 3.3377, 3.33914]","[0.4536124438794202, 1.1333091206068764, 1.0800052613673798, 0.8178988295197337, 0.8233174378174504, 1.0972847211920909]","[0.5122327697084914, 1.3837884300019376, 1.1523088478158032, 0.8424977384570256, 0.8451912553717364, 1.1957998842609816]","[2234, 2234, 2234, 2234, 2234, 2234]","[50.554763, 50.554763, 50.554763, 50.554763, 50.554763, 50.554763]","[3.3365055, 3.3365055, 3.3365055, 3.3365055, 3.3365055, 3.3365055]",6,50.55050505050505,3.327272727272727
2153,"[14613, 17879, 18225, 18385, 29612]","[50.58043, 50.58044, 50.57421, 50.5717, 50.57447]","[3.32862, 3.32858, 3.34571, 3.31073, 3.33398]","[1.0853183284717969, 1.0861822937777923, 1.3590549238049774, 1.1734858047907948, 0.6320083885374044]","[1.8611439095874838, 1.8582373671513035, 1.4224901356776205, 1.270757545563202, 2.1405062690853045]","[2197, 2197, 2201, 2197, 2201]","[50.5818139, 50.5818139, 50.5816331, 50.5818139, 50.5816331]","[3.3023511, 3.3023511, 3.3621169, 3.3023511, 3.3621169]",5,50.57070707070707,3.327272727272727
2156,"[11990, 13889, 14955, 15947, 17681, 17894, 18055, 23329]","[50.62992, 50.6364, 50.6359, 50.63175, 50.63846, 50.63066, 50.63968, 50.6291]","[3.32599, 3.34595, 3.32284, 3.32908, 3.31387, 3.33851, 3.32283, 3.32887]","[0.17939472591365438, 1.4335777660030717, 0.5982280162306637, 0.13641224989071807, 1.2349223718324682, 0.7959114084048516, 0.9816977376420745, 0.27065169217221474]","[0.7120546136506429, 1.7448219727289611, 1.3321917266308758, 0.9879595436300485, 1.7262594464712027, 1.111129226032324, 1.5099495124178441, 0.7097472567864727]","[5873, 2551, 5873, 5873, 5873, 7737, 2551, 7737]","[50.6239218, 50.6506251, 50.6239218, 50.6239218, 50.6239218, 50.6227173, 50.6506251, 50.6227173]","[3.3224551, 3.3355051, 3.3224551, 3.3224551, 3.3224551, 3.3289517, 3.3355051, 3.3289517]",8,50.631313131313135,3.327272727272727
2157,[14172],[50.66147],[3.31408],[1.445755014061885],[1.7004339204923071],[1671],[50.6763992],[3.3088529],1,50.65151515151515,3.327272727272727
2158,"[12513, 13828, 13958, 16209, 30226]","[50.66703, 50.66991, 50.66317, 50.66646, 50.67102]","[3.31719, 3.31854, 3.32566, 3.31755, 3.3312]","[0.8812258488231252, 0.6473941146829018, 0.9571745279840296, 0.900686809609325, 0.2874138021269614]","[1.1960556514344103, 0.9933055982324953, 1.558038666646747, 1.263759039728086, 1.487760985213897]","[1671, 1671, 2551, 1671, 2542]","[50.6763992, 50.6763992, 50.6506251, 50.6763992, 50.6826103]","[3.3088529, 3.3088529, 3.3355051, 3.3088529, 3.3206515]",5,50.67171717171717,3.327272727272727
2159,[15705],[50.69366],[3.32108],[0.4772324144675456],[0.981175124016582],[13797],[50.6862316],[3.3285974],1,50.69191919191919,3.327272727272727
2160,"[15239, 15588, 16136, 16825]","[50.70832, 50.7072, 50.70748, 50.70379]","[3.31729, 3.31962, 3.31775, 3.31054]","[0.8202120559294281, 0.7679935122257183, 0.846140040465259, 1.4988342118873983]","[1.881519187804849, 2.070359789562848, 1.9792462806890827, 2.2027172595030167]","[334, 334, 334, 334]","[50.7232545, 50.7232545, 50.7232545, 50.7232545]","[3.3047266, 3.3047266, 3.3047266, 3.3047266]",4,50.71212121212121,3.327272727272727
2251,"[11016, 17458]","[50.53518, 50.53908]","[3.35833, 3.34855]","[0.8007983762693787, 1.6099623588146301]","[2.0072788709516747, 1.940453572045925]","[1893, 2234]","[50.5476824, 50.554763]","[3.3788196, 3.3365055]",2,50.53030303030303,3.3666666666666667
