potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon,Province
4007,1,[1.1894991042133984],50.819693529791195,5.344852440049284,[20679],[50.81312],[5.35821],[7365],[1.2328706716100506],[50.813131313131315],[5.375757575757576],Vlaams Gewest
4011,1,[0.5887492759905439],50.826807214249065,5.47346600420881,[20291],[50.83187],[5.47592],[7666],[1.2759093651172313],[50.833333333333336],[5.493939393939394],Vlaams Gewest
4017,1,[0.7353270817062206],50.82610081201665,5.459551745740654,[20059],[50.82035],[5.46472],[7565],[1.0748159853512682],[50.813131313131315],[5.454545454545455],Flanders
5475,1,[0.1378076252690713],50.54887090556756,4.09601821368569,[14075],[50.54781],[4.09501],[4052],[1.3928995206344137],[50.55050505050505],[4.075757575757576],Région Wallonne
5467,1,[0.4588339374275674],50.36020343526802,4.1591046064538055,[11568],[50.35767],[4.16421],[4242],[1.230163939771823],[50.34848484848485],[4.154545454545454],Wallonia
3980,1,[0.903685142522902],50.344829439920886,4.342221640462298,[11020],[50.33799],[4.3491],[4741],[1.0929157837702286],[50.32828282828283],[4.351515151515152],Wallonia
5466,1,[0.3034102795947017],50.56047053343816,4.114499690430508,[8347],[50.56213],[4.11109],[4153],[0.9959338217558042],[50.57070707070707],[4.115151515151515],Wallonia
5465,1,[0.1864236476244402],50.50395657906163,4.379076330046702,[12856],[50.50561],[4.37864],[4850],[1.0010811569690476],[50.51010101010101],[4.390909090909091],Région Wallonne
4025,1,[0.4434219824819359],50.92647701053803,5.130423153061153,[20808],[50.92447],[5.13589],[6771],[1.1250046031720151],[50.93434343434343],[5.13939393939394],Flanders
5463,1,[0.9130008857264892],50.370181217374075,4.165807760709924,[12594],[50.36472],[4.17542],[4343],[1.3856285809332214],[50.36868686868687],[4.193939393939394],Région Wallonne
