potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon
7366,2,"[1.199715456737949, 1.199715456737949]",50.833333333333336,5.375757575757576,"[38885, 38886]","[50.83599, 50.83599]","[5.3592, 5.3592]","[4380, 4380]","[1.4514394283677834, 1.4514394283677834]","[50.8423023, 50.8423023]","[5.3411076, 5.3411076]"
9242,2,"[0.7495789693053173, 0.7495789693053173]",50.34848484848485,6.124242424242425,"[27321, 27322]","[50.34773, 50.34773]","[6.13474, 6.13474]","[9902, 9902]","[0.9795078105883556, 0.9795078105883556]","[50.3411364, 50.3411364]","[6.143893299999999, 6.143893299999999]"
9243,2,"[0.7285360564986845, 0.7285360564986845]",50.36868686868687,6.124242424242425,"[31470, 31471]","[50.36282, 50.36282]","[6.11967, 6.11967]","[10262, 10262]","[0.780021845934681, 0.780021845934681]","[50.356474, 50.356474]","[6.124356, 6.124356]"
7353,2,"[0.6282862751215834, 0.6282862751215834]",50.57070707070707,5.375757575757576,"[34704, 34705]","[50.57277, 50.57277]","[5.38404, 5.38404]","[2322, 2322]","[0.7982516076939725, 0.7982516076939725]","[50.5772113, 50.5772113]","[5.3929211, 5.3929211]"
7340,2,"[0.0991827349049847, 0.0991827349049847]",50.30808080808081,5.375757575757576,"[48579, 48580]","[50.30815, 50.30815]","[5.37715, 5.37715]","[2602, 2602]","[1.8526190606199395, 1.8526190606199395]","[50.2916136, 50.2916136]","[5.373966, 5.373966]"
9640,2,"[0.7329648941442118, 0.7329648941442118]",50.30808080808081,6.281818181818182,"[27618, 27619]","[50.30152, 50.30152]","[6.28082, 6.28082]","[11752, 11752]","[3.0872525169974305, 3.0872525169974305]","[50.3211812, 50.3211812]","[6.2501232, 6.2501232]"
8073,2,"[0.7340939674275151, 0.7340939674275151]",50.974747474747474,5.651515151515152,"[36205, 36206]","[50.97814, 50.97814]","[5.66051, 5.66051]","[12703, 12703]","[0.8224615175507441, 0.8224615175507441]","[50.977069, 50.977069]","[5.6721338, 5.6721338]"
7333,2,"[1.306676464595499, 1.306676464595499]",50.166666666666664,5.375757575757576,"[42646, 43765]","[50.17145, 50.17145]","[5.359, 5.359]","[3507, 3507]","[3.8289532985046986, 3.8289532985046986]","[50.1651711, 50.1651711]","[5.4118579, 5.4118579]"
7369,2,"[0.0963982682029949, 0.0963982682029949]",50.89393939393939,5.375757575757576,"[37654, 37655]","[50.8932, 50.8932]","[5.37504, 5.37504]","[9063, 9063]","[0.7046860849131233, 0.7046860849131233]","[50.8957976, 50.8957976]","[5.3842046, 5.3842046]"
7309,2,"[0.8935617502063186, 0.4103479678166916]",49.68181818181818,5.375757575757576,"[42673, 43683]","[49.68705, 49.6855]","[5.36633, 5.37537]","[11385, 11385]","[1.0488099396704644, 0.7037403682210499]","[49.6912776, 49.6912776]","[5.3793633, 5.3793633]"
9249,2,"[0.8811332742558646, 0.7986328799015773]",50.48989898989899,6.124242424242425,"[31361, 34366]","[50.48439, 50.48303]","[6.11529, 6.12754]","[48, 5591]","[0.975317655573439, 1.6894842526830016]","[50.4907832, 50.4756475]","[6.1058516, 6.1066715]"
9239,2,"[0.3335808058732749, 0.3335808058732749]",50.28787878787879,6.124242424242425,"[29976, 29977]","[50.2863, 50.2863]","[6.12025, 6.12025]","[7701, 7701]","[0.8692612726725458, 0.8692612726725458]","[50.2814836, 50.2814836]","[6.1298864, 6.1298864]"
7287,2,"[0.5968126401638929, 0.5968126401638929]",51.25757575757576,5.336363636363637,"[35998, 35999]","[51.26062, 51.26062]","[5.3293, 5.3293]","[116, 116]","[0.6079533828741578, 0.6079533828741578]","[51.2552993, 51.2552993]","[5.3272894, 5.3272894]"
8375,2,"[1.1185284743058197, 1.1185284743058197]",51.01515151515152,5.7696969696969695,"[39855, 39856]","[51.01782, 51.01782]","[5.75428, 5.75428]","[4260, 4260]","[2.2110204887576836, 2.2110204887576836]","[51.0148858, 51.0148858]","[5.7230186, 5.7230186]"
7378,2,"[0.7040281072853419, 0.7040281072853419]",51.07575757575758,5.375757575757576,"[38399, 38400]","[51.07024, 51.07024]","[5.3807, 5.3807]","[4367, 4367]","[1.1681417265591212, 1.1681417265591212]","[51.0605486, 51.0605486]","[5.3871518, 5.3871518]"
7821,2,"[0.7382314230271868, 0.7382314230271868]",49.92424242424242,5.572727272727273,"[44004, 44005]","[49.92179, 49.92179]","[5.58231, 5.58231]","[5507, 5507]","[1.2627420263298872, 1.2627420263298872]","[49.917476, 49.917476]","[5.5659947, 5.5659947]"
7674,2,"[0.5223221018814692, 0.5223221018814692]",50.994949494949495,5.493939393939394,"[41293, 41294]","[50.99038, 50.99038]","[5.49221, 5.49221]","[5251, 5251]","[0.7944197957803991, 0.7944197957803991]","[50.9922316, 50.9922316]","[5.4812474, 5.4812474]"
7779,2,"[0.4239832852380281, 0.4239832852380281]",51.0959595959596,5.533333333333333,"[41260, 41261]","[51.09497, 51.09497]","[5.52747, 5.52747]","[11721, 11721]","[0.4679287484445151, 0.4679287484445151]","[51.0962024, 51.0962024]","[5.5210631, 5.5210631]"
7672,2,"[0.2891907953867411, 0.2906759970457728]",50.95454545454545,5.493939393939394,"[39031, 40065]","[50.95639, 50.95639]","[5.49685, 5.49688]","[7912, 7912]","[0.6226806433563662, 0.621766909822252]","[50.9513509, 50.9513509]","[5.5007275, 5.5007275]"
8303,2,"[0.905376427014454, 0.905376427014454]",49.56060606060606,5.7696969696969695,"[47137, 47138]","[49.56221, 49.56221]","[5.75739, 5.75739]","[1493, 1493]","[1.353953894768776, 1.353953894768776]","[49.5564937, 49.5564937]","[5.7408155, 5.7408155]"
7666,2,"[0.9931745946025408, 0.9931745946025408]",50.833333333333336,5.493939393939394,"[36526, 36527]","[50.83316, 50.83316]","[5.4798, 5.4798]","[13246, 13246]","[1.0721207103631225, 1.0721207103631225]","[50.8279997, 50.8279997]","[5.492695, 5.492695]"
8301,2,"[0.7247517460202703, 1.3488633520869275]",49.52020202020202,5.7696969696969695,"[42622, 43340]","[49.5222, 49.5114]","[5.76014, 5.75684]","[1493, 1493]","[4.060234541232329, 5.145813378580627]","[49.5564937, 49.5564937]","[5.7408155, 5.7408155]"
