index,distance
8325,0.3338758425540585
8297,0.9268163905695257
8215,0.4668230095581538
2074,0.5164922634554157
2426,7.335767337660586
8453,0.9381567521866442
1741,0.3568475672529851
1858,1.406097909772853
8321,0.3468720712851067
2244,0.6311055528501551
8097,0.8683568221407413
1883,0.25393264573068186
8158,1.152967501530754
8035,1.2819235531009237
8399,0.8794262699923008
2098,0.6042136571111804
2425,0.31461129518008457
8143,1.0812446302558119
1815,0.13270695872912294
2234,0.8660384388950341
2234,0.30952115847877115
1969,0.654309167116804
8210,0.5173881964059895
8342,0.6291429195956234
8051,1.1160522926012966
8028,0.8623039473100066
461,1.9571998253793395
2154,0.4535179442829205
1709,0.225712297988527
8351,1.3855044133867784
2487,1.1872792271743648
2451,0.5655654094197373
1748,0.4272180592092543
8040,0.9606375853148358
1858,1.2999259306907822
2244,1.3545431664689738
8321,0.49505893813802765
1934,1.278402932850424
2189,0.7011770200887358
2125,0.03956375872090739
8097,0.9270897053364713
1949,0.667788924694188
8148,0.8348472881772767
2184,0.5146379368203503
1997,1.4599711076267043
1778,1.2434758496316833
8115,0.6534426110663749
8325,0.29827594913570393
8255,0.6743614282221784
1856,0.7263282482029781
8115,0.45740931023737547
8086,0.205943659148424
1685,1.5229743383881027
2266,0.5870780013048135
2426,8.337817142663651
8489,1.223563873010044
2125,0.44443718096895646
2067,1.0055594162251853
8221,0.3659315535451291
2047,0.9130016007177845
8143,0.7227530104817277
8115,0.15666365914360558
8119,0.16551829164503726
2172,0.07008956893952474
2127,0.8903406007854003
8004,0.3426316534575398
8479,0.30569489131656813
2245,0.8879875807452113
2197,1.2158118189218468
8149,0.4335928669214852
2266,0.47828865373188234
2249,0.7290069450518448
2189,0.43953682135225997
2435,0.41580069868610203
8270,0.8665009050809681
2266,0.8924108713003083
2143,0.32120262245430553
8369,0.7500020112718871
8148,0.6767333325862291
2247,0.5502236639922022
1693,0.49257491852373253
1891,0.279894711154185
8469,0.8715722439337752
1954,0.2559273901733993
9578,0.3353529820160174
8206,0.5240805622110281
9777,0.4433557147987467
2332,1.2492541247080593
8404,0.34048835655644527
1954,0.3196076345114688
2406,2.3547247320105043
1984,0.7774818428310716
8414,1.1479018697728391
2098,1.0907423622288377
2090,0.46145244122546886
2189,0.4129771237060923
2326,1.0950056430819854
8277,0.7034872020559038
8143,0.7537821184120032
2090,0.42008307233808007
2452,0.4545416252931227
1833,0.6161970238968169
2127,1.1823747146536305
2367,0.38761976752171745
2098,0.9182430307024319
8238,3.8136887326867477
8475,3.029596195905563
2004,0.7346212077174848
8486,0.3639627904521753
8060,1.0148488849072288
8041,1.0734093086832734
8090,0.25761749793083005
8028,0.5549980000682085
8024,0.9286914378175376
8028,0.7847593140460031
8000,1.017609986372921
2127,1.0615517503252188
8321,0.13022427287942692
2026,0.744898906130876
1572,0.24906524491925688
8154,0.6215455013829589
8028,0.4414513003988995
2115,0.3616589143280466
8232,1.1195073202574037
8321,0.47423611825968576
2411,2.2209122321096286
8004,0.28769154260513663
2431,0.8005234169575736
8143,0.638140107086849
2410,0.6819378255824817
8060,1.0422526396007532
1640,1.3640233361694332
2189,0.1418930701234071
2442,1.5336540520318227
1524,0.3322304534727605
1698,0.2174596969210631
2266,1.0508925721981484
2451,0.22775273591168615
2147,1.0750800976340695
2083,1.0787538961309784
2115,0.1585391154446524
1664,0.3305534869786438
2005,0.4413990935533754
2199,1.0113759079212434
2212,0.5999563881229621
8325,0.14892686667253766
2403,0.4606648074102027
1749,0.533119348805337
8065,0.6721392071581312
2244,0.7029532839041795
1971,0.2839030209273871
1975,0.6152732767662215
2212,0.31561154564111565
2244,0.521148925709389
2398,0.4052751097531917
2345,0.32599182360025253
8215,0.5191223491908915
8143,1.0689241300204473
1708,0.6509339920857332
8356,0.6389548126925806
2285,0.21206327593823981
2321,0.4492712018463864
2406,11.44188647367952
8338,1.0152924132454901
8160,0.38918776711099057
2321,0.604913990893655
2392,0.9669897518613946
2444,0.7243741881347581
8216,0.10494122211918828
2281,0.5498070680720729
8212,0.3698949226437445
8461,3.8827973841982644
8154,0.37967110500500695
8374,0.2517893902605451
2308,0.7512354033180314
2266,0.7524845578220781
2452,0.3628089287805602
8343,0.6698440191005672
8464,1.390998245868471
8238,3.8492447173522364
2016,0.2721246871146209
8232,0.6835739125227543
8228,0.5430042949323842
2015,0.5308591560836532
2467,3.355273383450796
2354,1.9754642173562327
2398,0.6114757393989014
8210,0.6119389090308244
2156,0.10309430940599915
2218,0.8873941638069237
2016,0.35120613320721195
2234,0.24016300283261383
8367,0.2822147970668273
8199,0.4845599739420072
8143,0.34216015016054624
8343,0.6951820065922321
8424,1.3583472802440784
8045,0.2299943416378526
8143,1.2440733428861612
1507,0.4433534275289775
2321,0.9104034062689084
2052,0.5225209565204221
2425,0.7534256478972667
2388,0.2343247923698182
8051,0.5189922426626141
2003,1.5723031107939947
2405,0.4781590597798079
1646,0.23436263868111898
1664,0.5824906581415704
1610,0.6396069814654891
8327,0.49213096141156704
2310,0.756679086345923
8212,0.32596640018536244
2178,0.6836343355675881
2414,0.4351797301034666
2487,1.4471265518598324
2442,1.5156611690440207
8051,1.2349907099922433
8289,0.6142167350883991
8321,0.234958675992297
2371,0.6968558198256012
2354,0.668447814178498
8143,0.9061783953420832
2119,1.053624685116609
2436,0.8968418385507985
2088,11.121841712775996
8357,0.43987998843205756
2147,1.2303585850535317
8143,1.0716230870932126
2212,1.5752379640918626
1885,0.9125103550880167
2431,0.1756462056730651
